player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
28,11.4,4.3,71.2,87.1,3.2,3.4,2.8,30.3,60.1,8.3,29.2,20.2,79.8,91.7
28,26,5.6,73.8,89.3,16,8.5,7.3,39.8,69.4,16.7,33.3,48.9,51.1,83.3
28,29.3,7.2,72.4,89.4,18.4,9.6,4.8,30.4,78.2,21.5,29.2,54.6,45.4,78
31,34.5,6,74.1,88.6,19.6,14.8,8.2,43.9,70.5,21.6,34,52.8,47.2,78.4
28,22.8,12.1,70.7,86.5,11.8,3,4.3,27.9,67.2,17.1,28,38.8,61.2,82.9
29,29.9,5.1,68.9,85.4,17.8,5.6,4.8,29.7,64.9,21.6,37.9,42.1,57.9,78.4
28,21.1,7.8,71.5,88.4,19.5,5.9,6.5,34.5,69.4,15.8,27.5,50.7,49.3,84.2
29,24.3,14.2,67.6,90.7,14.2,8.2,11.9,42.5,62.7,13.6,24.3,52.8,47.2,86.4
31,18.4,4.4,69.2,84.1,17.4,3.1,5,24.3,63.2,11.1,31.2,46.2,53.8,88.9
28,21.4,7.4,72,89.2,12.5,7.6,7.2,41,71,19.6,33.2,47,53,80.4
29,13.2,3.8,72.4,84.2,6.9,2.5,2.3,24.2,67.1,10,45.7,22.5,77.5,90
