"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"107" "Dominic Smith" 2020 25 199 22.6 7 99.3 93.4 30.4 56.8 37.4 36.6 26.4 89.8 10.8 13.3 5.9 46.7 71.9 19.2 33.5 39.4 60.6 80.8
"108" "Tony Kemp" 2020 29 114 12.3 13.2 66.1 71.7 25.5 34.6 31.9 37.1 9.2 85.8 18.8 1.2 2.4 15.9 66.3 8.7 19 31.6 68.4 91.3
"109" "Ryan Mountcastle" 2020 23 140 21.4 7.9 87.8 77.1 27.1 44 32.2 33.1 16.9 87.5 10.6 7.1 2 42.7 81.5 21.7 40.8 42.5 57.5 78.3
"110" "Willi Castro" 2020 23 140 27.1 5 92.9 83.4 29.9 49.8 34.3 33.6 19.9 85.3 11.3 9.6 4.3 31.9 72.8 20.3 38.7 48.2 51.8 79.7
"111" "Isiah Kiner-Falefa" 2020 25 228 14 6.1 69.9 65.2 26 34 28.7 31.2 8 87.2 0.8 2.2 2.8 31.1 65.9 9.5 27.2 32.7 67.3 90.5
"112" "Joey Votto" 2020 37 223 19.3 16.6 80 86.2 25.4 48.4 35.6 37.8 22.9 87.4 15.4 9.1 9.8 35.7 57.3 17.2 17.2 38.1 61.9 82.8
"113" "Travis d'Arnaud" 2020 31 184 27.2 8.7 91.9 90.9 30.4 53.8 37 37.1 23.4 93.4 8.1 11.2 6.9 57.8 67.9 21.7 31.8 51.4 48.6 78.3
"114" "Trent Grisham" 2020 24 252 25.4 12.3 80.5 84.5 26.3 48.1 35.5 36.4 21.8 88.3 13.5 11.1 3.9 41.8 57.3 19.3 17.9 41.3 58.7 80.7
"115" "Justin Upton" 2020 33 166 25.9 6.6 71.1 74.7 22.9 43 31.5 31.7 20.1 91.7 18.6 8.6 6.7 43.8 63.7 20.9 22.2 57.5 42.5 79.1
"116" "Alex Verdugo" 2020 24 221 20.4 7.7 84.4 67.9 23.9 37.3 29.1 30.6 13.4 87 5.9 6.4 5.1 34.4 57.9 12.7 27.5 31.5 68.5 87.3
"117" "Miguel Sano" 2020 27 205 43.9 8.8 75.7 77 21.5 48.2 31 28.8 26.7 95.2 20.2 22.9 9.4 57.3 70.3 29.4 28 70.5 29.5 70.6
"118" "Yuli Gurriel" 2020 36 230 11.7 5.2 65.8 73 26.8 41.3 30.8 31.7 14.5 89.3 13.9 3.7 7.4 36.5 66.2 6.3 34.3 30.4 69.6 93.7
"119" "Victor Caratini" 2020 27 132 23.5 9.1 66.1 63.6 21.9 32.3 27.6 31.3 10.4 87.9 6.2 3.5 8.2 36.5 61.8 15.9 20.6 44.1 55.9 84.1
"120" "Jonathan Schoop" 2020 29 177 22 4.5 79.7 67.8 24.4 38.3 28.8 29.5 13.9 87.2 8.7 5.6 4.8 33.6 77.2 17.2 38.2 46.8 53.2 82.8
"121" "Mitch Moreland" 2020 35 152 21.1 9.9 89.4 79.6 23.7 47.8 32.2 31.8 24.1 88.2 12.5 14.4 1 40.4 71 23.3 24.8 52 48 76.7
"122" "Carson Kelly" 2020 26 129 22.5 4.7 64.9 62.6 22.2 36.2 26.1 26.4 14 86.3 16.7 4.3 7.5 34.4 63.7 22 23.7 42.6 57.4 78
"123" "Christian Vazquez" 2020 30 189 22.8 8.5 80.1 65 22.4 36 27.7 29 13.6 88.4 14.4 4.6 6.2 40 64.8 19.2 31.4 30.2 69.8 80.8
"124" "Teoscar Hernandez" 2020 28 207 30.4 6.8 91.7 95.8 29.5 61.3 38.1 34.5 31.8 93.3 15.3 18 4.7 53.1 62.9 27.7 30.9 48.5 51.5 72.3
"125" "Josh Bell" 2020 28 223 26.5 9.9 66.9 69.1 22.9 38.2 28.9 30.9 15.3 91.7 5.9 8.6 3.6 42.9 72.3 25.5 26.9 49.3 50.7 74.5
"126" "Luis Arraez" 2020 23 121 9.1 6.6 76.5 81.9 31.2 45.8 34.6 36.1 14.6 87.5 12.1 3.9 7.8 30.4 68.1 8 23.7 15.4 84.6 92
"127" "Miguel Rojas" 2020 31 143 12.6 11.2 88.8 76 27.8 39 32.3 37 11.1 87.3 11.9 0.9 8.4 31.8 56.6 13.8 22.8 25.4 74.6 86.2
"128" "Ty France" 2020 26 155 23.9 7.1 83.6 83.8 28.8 48.5 34.6 35.3 19.6 85.7 14.8 8.7 4.8 29.8 69.8 17.2 26.8 41.8 58.2 82.8
"129" "Asdrubal Cabrera" 2020 35 213 18.8 8.9 75.3 74 24.5 43.1 30.6 30.9 18.6 89.5 13.7 6.5 8.4 38.3 66.5 12.3 28.2 37.2 62.8 87.7
"130" "Yoan Moncada" 2020 25 231 31.2 12.1 70.5 64.5 20.8 33.8 28 30.7 13 87.8 13.9 6.2 4.6 33.1 62.1 19.3 27.4 51.3 48.7 80.7
"131" "Kolten Wong" 2020 30 208 14.4 9.6 67.2 64 24.1 31.1 28.6 32.9 7 86.5 10.8 0.6 3.2 26.6 64.1 10.7 23.3 30.1 69.9 89.3
"132" "Isaac Paredes" 2020 21 108 22.2 7.4 56.8 53.8 21 26.9 23.6 26.9 5.9 86.5 7.5 0 5.3 26.3 60.5 4.6 24.8 46.6 53.4 95.4
"133" "Eddie Rosario" 2020 29 231 14.7 8.2 79.2 74.2 24.4 43.7 30.6 30.5 19.3 87.5 18.1 6.2 8.4 35.4 69.6 15.8 39.4 30.9 69.1 84.2
"134" "Chance Sisco" 2020 25 121 33.9 14 74.1 73.2 19.7 38.3 31.7 34.9 18.6 88.8 20 12.3 7 36.8 68.8 27 20.5 69 31 73
